num_words,num_unique_words,num_stopwords,num_links,num_unique_domains,num_email_addresses,num_spelling_errors,num_urgent_keywords,label
106,75,36,0,0,0,7,0,1
298,139,58,0,0,0,56,0,0
52,40,17,0,0,0,2,0,0
454,176,93,22,3,12,103,0,0
248,128,52,0,0,4,33,0,0
419,235,120,0,0,0,38,0,0
73,69,8,0,0,0,26,0,1
11,10,6,0,0,0,1,0,0
61,50,10,1,1,3,12,0,0
10,9,4,0,0,0,1,0,0
467,238,193,0,0,0,6,1,1
275,153,101,0,0,0,20,0,1
77,54,18,0,0,0,8,0,1
7,7,1,0,0,0,0,0,1
42,36,8,0,0,1,7,0,0
142,111,14,0,0,0,29,0,1
173,97,57,3,2,0,4,0,1
252,181,5,0,0,0,54,0,1
66,52,13,0,0,0,8,0,0
79,52,22,3,3,2,14,0,1
16,14,6,0,0,0,1,0,0
40,36,6,0,0,0,11,0,1
117,90,53,0,0,0,14,0,1
204,137,42,0,0,0,55,1,0
624,285,199,0,0,0,33,0,1
163,113,45,0,0,10,19,0,0
47,45,10,0,0,0,5,0,1
6,6,0,0,0,0,1,0,0
225,140,69,0,0,0,4,0,1
1189,414,460,0,0,12,45,0,0
465,282,109,0,0,16,59,0,0
228,144,78,0,0,0,9,0,1
84,75,22,0,0,0,5,0,1
316,170,125,0,0,0,15,2,1
48,37,22,0,0,0,0,0,0
73,63,8,0,0,0,18,0,1
361,202,136,0,0,0,12,1,0
107,70,41,0,0,0,3,0,0
140,95,48,1,1,0,5,0,0
105,83,25,3,3,1,11,0,1
337,208,94,0,0,0,27,0,1
74,64,20,0,0,0,8,0,1
52,43,20,0,0,0,0,0,0
49,42,10,0,0,0,17,0,1
60,45,25,0,0,0,7,0,0
245,146,92,0,0,3,8,1,0
66,38,7,0,0,0,10,0,0
27,20,2,0,0,0,12,0,1
207,119,82,0,0,2,9,1,0
51,39,18,0,0,0,0,0,0
128,95,43,1,1,0,9,0,0
7331,1708,2116,7,7,8,313,2,0
206,115,25,0,0,5,57,0,0
5,5,2,0,0,0,0,0,1
92,65,41,0,0,0,2,0,0
97,74,26,0,0,0,6,0,0
65,37,13,0,0,0,20,0,0
309,152,129,0,0,0,1,0,1
18,18,3,0,0,0,0,0,0
235,122,96,0,0,0,1,0,0
11,11,6,0,0,0,1,0,0
44,32,10,0,0,1,11,0,0
226,137,87,0,0,0,17,0,0
22,21,6,0,0,0,1,0,0
174,110,31,0,0,0,33,0,0
1149,506,287,2,2,8,92,3,0
29,24,4,0,0,0,2,0,1
23,19,10,0,0,0,1,0,0
17054,2955,5433,5,4,12,344,5,0
335,194,93,0,0,1,20,1,1
74,63,26,0,0,0,2,0,0
13,13,5,0,0,0,1,0,0
13,13,3,0,0,0,0,0,0
191,105,64,0,0,7,14,0,0
593,270,182,0,0,0,41,1,0
469,245,106,0,0,0,105,1,0
1617,526,586,0,0,0,83,0,0
165,131,37,0,0,0,31,0,1
72,66,18,0,0,0,17,0,1
16,15,7,0,0,0,2,0,0
94,68,33,2,2,0,5,0,0
58,49,2,0,0,0,24,0,1
251,129,105,0,0,3,9,0,0
16,11,0,0,0,1,1,0,0
31,28,0,0,0,0,5,0,0
85,66,25,0,0,0,9,0,1
278,206,55,1,1,3,43,0,0
8,8,3,0,0,0,0,0,1
48,44,14,1,1,0,10,0,0
36,30,2,0,0,0,4,0,0
31,28,14,0,0,0,1,0,0
66,55,22,0,0,0,2,0,1
65,59,6,0,0,0,17,0,1
608,316,195,0,0,0,79,0,1
266,135,85,4,1,2,11,0,0
122,106,19,0,0,0,25,0,0
6,6,3,0,0,0,0,0,0
44,35,21,1,1,0,0,0,0
366,203,116,0,0,1,27,0,0
48,42,17,0,0,0,0,0,0
21,21,1,0,0,0,8,0,1
58,58,2,0,0,0,7,0,1
393,204,163,4,4,2,20,0,1
